county_district_code,district_name
96098,AFFTON 101
96099,BAYLESS
96101,BRENTWOOD
96102,CLAYTON
96089,FERGUSON-FLORISSANT R-II
96103,HANCOCK PLACE
96088,HAZELWOOD
96104,JENNINGS
96092,KIRKWOOD R-VII
96106,LADUE
96093,LINDBERGH SCHOOLS
96107,MAPLEWOOD-RICHMOND HEIGHTS
96094,MEHLVILLE R-IX
96109,NORMANDY SCHOOLS COLLABORATIVE
96095,PARKWAY C-2
96090,PATTONVILLE R-III
96110,RITENOUR
96111,RIVERVIEW GARDENS
96091,ROCKWOOD R-VI
96119,SPECL. SCH. DST. ST. LOUIS CO.
96112,UNIVERSITY CITY
96113,VALLEY PARK
96114,WEBSTER GROVES
115115,ST. LOUIS CITY
115914,KIPP ST LOUIS PUBLIC SCHOOLS
115906,CONFLUENCE ACADEMIES
